SM_R4C1_timestamps,median_pass_3
488.541801,1.0060372429234019e-08
491.354099,1.0060372429234019e-08
492.810462,1.0060372429234019e-08
494.266825,1.0060372429234019e-08
495.723188,1.0060372429234019e-08
497.179552,1.0060372429234019e-08
498.635915,1.0060372429234019e-08
502.70372,1.0060372429234019e-08
504.360939,1.0060372429234019e-08
505.817303,1.0060372429234019e-08
507.273666,1.0060372429234019e-08
508.830457,1.0060372429234019e-08
510.28682,1.0060372429234019e-08
513.299974,1.0060062264961176e-08
515.810988,1.005969289092205e-08
517.267351,1.0059561854042707e-08
518.723715,1.0059430817163363e-08
520.180078,1.0059371607397083e-08
521.736869,1.0059371607397083e-08
524.95088,1.0059371607397083e-08
527.562322,1.0059371607397083e-08
529.018685,1.0059371607397083e-08
530.475048,1.0059371607397083e-08
531.931412,1.0059371607397083e-08
533.387774,1.0059371607397083e-08
534.844137,1.0059371607397083e-08
537.656435,1.0059371607397083e-08
539.112799,1.0059371607397083e-08
539.514511,1.0059371607397083e-08
542.025525,1.0059371607397083e-08
545.038679,1.0059371607397083e-08
546.595471,1.0059371607397083e-08
548.051834,1.0059371607397083e-08
549.709053,1.005832306943607e-08
552.220067,1.0055260815988938e-08
553.776858,1.0053215809925191e-08
555.534507,1.0053215809925191e-08
556.990869,1.0053215809925191e-08
558.447232,1.0053215809925191e-08
559.903596,1.0053215809925191e-08
561.359958,1.0053215809925191e-08
565.729048,1.0053215809925191e-08
568.240062,1.0053215809925191e-08
568.641774,1.0053215809925191e-08
571.253216,1.0053215809925191e-08
572.609151,1.0053215809925191e-08
573.010864,1.0053215809925191e-08
575.521878,1.0053215809925191e-08
576.978241,1.0053215809925191e-08
578.434603,1.0053215809925191e-08
581.548187,1.0053215809925191e-08
583.004549,1.0053215809925191e-08
584.460912,1.0053215809925191e-08
587.574495,1.0053215809925191e-08
589.030859,1.0053215809925191e-08
591.541872,1.0056839651285327e-08
591.943584,1.006577686607318e-08
594.454598,1.0078009415067008e-08
595.910961,1.0090501231578276e-08
599.225401,1.0105154969527277e-08
600.681764,1.0175003967475912e-08
602.138128,1.0354379538239335e-08
604.64914,1.0557385245267018e-08
605.050853,1.066353597720443e-08
607.561867,1.0691402997623433e-08
610.474593,1.0710607260430803e-08
612.232241,1.0744344160491578e-08
613.688604,1.079466188138819e-08
615.144968,1.0862502923960863e-08
616.60133,1.0925037599469866e-08
620.669135,1.100059924404142e-08
622.125499,1.1147794114555625e-08
623.581862,1.130564445318257e-08
625.038224,1.1389980083140186e-08
626.600903,1.144157541311273e-08
628.057266,1.1517190234781685e-08
630.869565,1.1633303671156582e-08
632.325928,1.1772331150896081e-08
635.238654,1.1907291828689453e-08
636.996301,1.204609767816067e-08
638.452665,1.217059606331395e-08
639.909028,1.2265221525976683e-08
641.365391,1.2364631101194892e-08
645.433196,1.2490067472738104e-08
646.889559,1.2642466635452354e-08
648.345922,1.2789898723402312e-08
649.802285,1.2901225240524294e-08
651.258649,1.298641304640298e-08
652.715012,1.3065585225302776e-08
655.627738,1.3189550744010892e-08
658.540464,1.338191841864184e-08
659.996827,1.356922832881492e-08
661.45319,1.3703368434068848e-08
662.909553,1.3817984810079193e-08
664.365916,1.3931782910768407e-08
665.82228,1.4039584497500191e-08
666.223993,1.4151873891248101e-08
671.647733,1.4304983646201896e-08
673.304952,1.4512930055546118e-08
674.761315,1.4723223163820413e-08
676.11725,1.4896231078244823e-08
674.962172,1.5022148952375928e-08
679.230833,1.512344840904428e-08
681.942703,1.5283747923117525e-08
683.499494,1.5502880159135552e-08
684.955857,1.568835828300042e-08
686.412221,1.5826501082688954e-08
690.580453,1.598344168118587e-08
692.137245,1.6192677095816265e-08
